0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,59846,6,50,8,68,18,134,24,198,38,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,302648,129,1105,160,1106,330,2114,408,2862,530,3824,9,135,106,685,50,558,266,1475,74,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,130254,1323,10431,1533,9467,2950,16286,3410,20178,3814,22738,1294,7176,2415,12431,1564,7106,1475,5318,3632,10597,6018,24171,21931,60581,37158,90425,71283,120680,94773,113191,118367,74453,89039,26950,40082,3515,6518,148,445,0
6,576681,8607,62196,9351,51551,16999,81096,18433,91794,18491,90182,11491,50320,14296,56183,13582,39922,23037,66807,59521,153076,105376,237521,173895,306325,216706,302281,269997,236981,256545,132746,171219,40500,63619,3795,6500,139,119,0,0,0
7,82586,39843,263295,40700,200082,70386,291106,71502,299974,65973,261958,52462,187181,55028,161993,70576,163474,126946,300035,259472,540457,348107,606121,470323,628764,528641,552960,743811,447506,805461,231172,737738,52920,427171,2530,169359,32,24406,0,1069,0
8,343286,139539,841861,134264,587148,221379,795982,209716,743496,180158,583105,158613,466061,157230,364842,242088,485567,415380,815727,724843,1199812,887470,1166096,1140843,1112091,1425555,948956,1808568,659342,1626182,237084,907180,24554,283622,317,25689,0,484,0,0,0
9,19739,383772,2111021,348060,1349554,546297,1711527,479499,1441737,384932,1021058,351946,860166,348551,672581,595174,1041872,935504,1509777,1478429,1955611,1637599,1756415,2038488,1650605,2397994,1354382,2937351,875149,2541723,275104,1544111,25833,515617,168,112050,0,14999,0,725,0
10,74230,849204,4254745,725524,2484634,1079287,2951037,871313,2229624,652747,1430815,604939,1243693,613536,1020000,1109836,1696957,1614037,2180017,2372668,2585423,2549327,2320391,3031423,2093291,3677919,1682634,4264058,962464,3460201,262304,1552492,20563,299183,248,16622,0,294,0,0,0
11,143,1536576,7007635,1234168,3717180,1729233,4130684,1274306,2783839,887322,1622916,832030,1454518,870319,1269070,1635069,2187612,2222882,2568412,3113585,2849098,3185918,2521542,3672800,2292150,4400512,1805278,4972931,970999,3799076,243394,1704554,17723,336414,110,30525,0,3586,0,211,0
12,960,2298114,9536199,1729000,4559242,2264619,4728624,1512400,2828805,974421,1502034,935970,1401160,1005208,1295882,1953154,2305830,2517759,2535368,3393413,2662055,3334504,2343335,3768386,2178233,4609164,1688236,4931491,804231,3665583,181302,1458991,11755,203731,49,5398,0,74,0,0,0
13,0,2860026,10795899,2004574,4605656,2433851,4442811,1464425,2351318,869849,1138906,873103,1120885,948764,1087332,1919862,2026484,2368201,2098569,3104245,2110535,2882192,1827603,3261875,1783668,3930135,1330860,4112966,590334,3026361,124190,1205464,7079,173903,31,2361,0,3,0,0,0
14,0,2971722,10201863,1925690,3835190,2147909,3426381,1160975,1603005,634328,706687,679082,744929,730958,751744,1562437,1493487,1863326,1452062,2391212,1419693,2085741,1220329,2413721,1249069,2866632,890450,2915390,353305,2130121,67417,832133,3225,106522,4,941,0,0,0,0,0
15,0,2578914,8048103,1529424,2625266,1552399,2161508,755662,896440,379004,356061,438569,409142,456887,427099,1053188,917635,1226607,835853,1545959,804414,1256731,689847,1509696,732643,1725461,502059,1724791,175137,1285386,30031,518134,1322,75462,0,286,0,0,0,0,0
16,0,1864206,5283537,998408,1467272,913209,1106818,404798,409758,185383,143436,231834,183813,229304,196648,585476,463008,670723,399335,832789,378993,627642,325358,802660,359819,866955,232261,865822,71602,641368,10176,270693,231,40612,0,183,0,0,0,0,0
17,0,1115724,2866723,530300,661842,432735,453975,178713,151663,73637,45053,97993,66435,91108,71082,265942,187825,300204,158349,370520,145316,257001,125611,359504,143765,356174,87192,358825,24413,262312,2290,119125,26,21709,0,34,0,0,0,0,0
18,0,547284,1270895,225588,236626,162597,145997,64825,44591,23284,10617,32160,18768,28104,19161,97227,59764,107355,51214,134445,44264,84751,38862,133502,45538,119557,25819,120265,6420,86319,398,43294,6,8378,0,5,0,0,0,0,0
19,0,216594,452365,75040,65242,47317,35568,19038,10045,5645,1768,7942,3940,6486,3540,27860,14451,29572,12807,39245,10414,21790,9309,40092,11140,32045,5555,32450,1387,21363,29,12098,0,2983,0,0,0,0,0,0,0
20,0,67533,125917,18808,13296,10287,6190,4366,1623,984,188,1430,566,1048,384,5996,2519,5993,2225,8997,1840,4024,1549,9489,2054,6676,783,6457,252,3925,4,2726,0,651,0,0,0,0,0,0,0
21,0,15987,26323,3341,1868,1575,689,729,164,110,12,176,44,102,16,900,280,839,222,1545,226,445,132,1677,290,1062,68,872,26,471,0,407,0,122,0,0,0,0,0,0,0
22,0,2703,3869,375,159,152,29,78,16,6,0,12,0,4,0,84,14,76,8,172,15,16,2,187,22,123,6,57,0,42,0,45,0,8,0,0,0,0,0,0,0
23,0,291,354,20,4,7,0,4,2,0,0,0,0,0,0,4,0,4,0,8,0,0,0,6,0,11,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
24,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0